Date,Open,High,Low,Close,Volume
2004-12-01,435.0,445.0,425.0,435.0,0
2004-12-02,435.0,445.0,425.0,435.0,0
2004-12-03,435.0,445.0,425.0,435.0,0
2004-12-06,435.0,445.0,425.0,435.0,0
2004-12-07,435.0,448.0,425.0,440.5,0
2004-12-08,440.5,448.0,433.0,440.5,0
2004-12-09,440.5,448.0,433.0,440.5,0
2004-12-10,440.5,448.0,433.0,440.5,0
2004-12-13,440.5,448.0,433.0,440.5,0
2004-12-14,440.5,448.0,433.0,440.5,0
2004-12-15,440.5,448.0,433.0,440.5,0
2004-12-16,440.5,448.0,433.0,440.5,0
2004-12-17,440.5,448.0,432.0,439.5,0
2004-12-20,439.5,447.0,432.0,439.5,0
2004-12-21,439.5,447.0,432.0,439.5,0
2004-12-22,439.5,448.0,432.0,440.5,0
2004-12-23,440.5,448.0,433.0,440.5,0
2004-12-24,440.5,448.0,433.0,440.5,0
2004-12-27,440.5,448.0,433.0,440.5,0
2004-12-28,440.5,448.0,433.0,440.5,0
2004-12-29,440.5,448.0,433.0,440.5,0
2004-12-30,440.5,448.0,433.0,440.5,0
2004-12-31,440.5,448.0,433.0,440.5,0
2005-01-03,440.5,448.0,433.0,440.5,0
2005-01-04,440.5,448.0,433.0,440.5,0
2005-01-05,440.5,449.0,433.0,441.5,0
2005-01-06,441.5,449.0,434.0,441.5,0
2005-01-07,441.5,449.0,434.0,441.5,0
2005-01-10,441.5,449.0,434.0,441.5,0
2005-01-11,441.5,449.0,434.0,441.5,0
2005-01-12,441.5,449.0,434.0,441.5,0
2005-01-13,441.5,449.0,434.0,441.5,0
2005-01-14,441.5,449.0,434.0,441.5,0
2005-01-17,441.5,449.0,434.0,441.5,0
2005-01-18,441.5,473.0,434.0,465.5,0
2005-01-19,465.5,473.0,458.0,465.5,0
2005-01-20,465.5,473.0,458.0,465.5,0
2005-01-21,465.5,473.0,458.0,465.5,0
2005-01-24,465.5,473.0,458.0,465.5,0
2005-01-25,465.5,477.0,457.0,467.0,0
2005-01-26,467.0,477.0,457.0,467.0,0
2005-01-27,467.0,477.0,457.0,467.0,0
2005-01-28,467.0,478.0,457.0,468.0,0
2005-01-31,468.0,478.0,458.0,468.0,0
2005-02-01,468.0,478.0,458.0,468.0,0
2005-02-02,468.0,478.0,458.0,468.0,0
2005-02-03,468.0,478.0,458.0,468.0,0
2005-02-04,468.0,478.0,458.0,468.0,0
2005-02-07,468.0,478.0,458.0,468.0,0
2005-02-08,468.0,478.0,458.0,468.0,0
2005-02-09,468.0,478.0,458.0,468.0,0
2005-02-10,468.0,478.0,458.0,468.0,0
2005-02-11,468.0,478.0,458.0,468.0,0
2005-02-14,468.0,478.0,458.0,468.0,0
2005-02-15,468.0,482.0,458.0,472.0,0
2005-02-16,472.0,483.0,462.0,473.0,0
2005-02-17,473.0,483.0,463.0,473.0,0
2005-02-18,473.0,485.0,463.0,475.0,0
2005-02-21,475.0,485.0,464.0,474.0,0
2005-02-22,474.0,485.0,464.0,475.0,0
2005-02-23,475.0,485.0,465.0,475.0,0
2005-02-24,475.0,485.0,464.0,474.0,0
2005-02-25,474.0,484.0,464.0,474.0,0
2005-02-28,474.0,484.0,464.0,474.0,0
2005-03-01,474.0,484.0,464.0,474.0,0
2005-03-02,474.0,484.0,464.0,474.0,0
2005-03-03,474.0,484.0,464.0,474.0,0
2005-03-04,474.0,484.0,464.0,474.0,0
2005-03-07,474.0,484.0,464.0,474.0,0
2005-03-08,474.0,493.0,464.0,480.5,0
2005-03-09,480.5,498.0,468.0,485.5,0
2005-03-10,485.5,498.0,473.0,485.5,0
2005-03-11,485.5,509.0,473.0,496.5,0
2005-03-14,496.5,509.0,484.0,496.5,0
2005-03-15,496.5,509.0,484.0,496.5,0
2005-03-16,496.5,509.0,484.0,496.5,0
2005-03-17,486.0,486.0,486.0,486.0,0
2005-03-18,486.0,486.0,486.0,486.0,0
2005-03-21,486.0,486.0,486.0,486.0,0
2005-03-22,486.0,489.0,486.0,489.0,0
2005-03-23,489.0,490.0,489.0,490.0,0
2005-03-24,490.0,490.0,490.0,490.0,0
