Date,Open,High,Low,Close,Volume
2003-12-01,4.377200126647949,4.377200126647949,4.377200126647949,4.377200126647949,0
2003-12-02,4.372200012207031,4.372200012207031,4.372200012207031,4.372200012207031,0
2003-12-03,4.277599811553955,4.277599811553955,4.277599811553955,4.277599811553955,0
2003-12-04,4.274700164794922,4.274700164794922,4.274700164794922,4.274700164794922,0
2003-12-05,4.365799903869629,4.365799903869629,4.365799903869629,4.365799903869629,0
2003-12-08,4.341300010681152,4.341300010681152,4.341300010681152,4.341300010681152,0
2003-12-09,4.357399940490723,4.357399940490723,4.357399940490723,4.357399940490723,0
2003-12-10,4.377699851989746,4.377699851989746,4.377699851989746,4.377699851989746,0
2003-12-11,4.399799823760986,4.399799823760986,4.399799823760986,4.399799823760986,0
2003-12-12,4.362100124359131,4.362100124359131,4.362100124359131,4.362100124359131,0
2003-12-15,4.360000133514404,4.360000133514404,4.360000133514404,4.360000133514404,0
2003-12-16,4.314000129699707,4.314000129699707,4.314000129699707,4.314000129699707,0
2003-12-17,4.378499984741211,4.378499984741211,4.378499984741211,4.378499984741211,0
2003-12-18,4.467299938201904,4.467299938201904,4.467299938201904,4.467299938201904,0
2003-12-19,4.452899932861328,4.452899932861328,4.452899932861328,4.452899932861328,0
2003-12-22,4.55079984664917,4.55079984664917,4.55079984664917,4.55079984664917,0
2003-12-23,4.554200172424316,4.554200172424316,4.554200172424316,4.554200172424316,0
2003-12-29,4.496500015258789,4.496500015258789,4.496500015258789,4.496500015258789,0
2003-12-30,4.420499801635742,4.420499801635742,4.420499801635742,4.420499801635742,0
2003-12-31,4.377999782562256,4.377999782562256,4.377999782562256,4.377999782562256,0
2004-01-02,4.421299934387207,4.421299934387207,4.421299934387207,4.419600009918213,0
2004-01-05,4.341100215911865,4.341100215911865,4.341100215911865,4.341100215911865,0
2004-01-06,4.344600200653076,4.344600200653076,4.344600200653076,4.344600200653076,0
2004-01-07,4.410699844360352,4.410699844360352,4.410699844360352,4.410699844360352,0
2004-01-08,4.4695000648498535,4.4695000648498535,4.4695000648498535,4.4695000648498535,0
